content_key,subject_key,item_type,existing_prompt_json_topic,parsed_code,code_in_closed_list,existing_coverage_label,unit_signals
apphy1-frq-058,ap-physics-1,frq,,,false,false,"{""modules"":[""unit-2-force-and-translational-dynamics"",""practice-4""],""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-np1-001,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-np1-002,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-np1-003,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-np1-004,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-np1-005,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-np1-006,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-np1-007,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-np1-008,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-np1-009,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-np1-010,ap-physics-1,frq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-frq-np2-007,ap-physics-1,frq,,,false,false,"{""modules"":[""unit-7-oscillations"",""topic-7.2"",""topic-7.3"",""topic-7.4""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-001,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-003,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-2-force-and-translational-dynamics"",""practice-3""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-004,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-2-force-and-translational-dynamics"",""practice-1""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-005,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-2-force-and-translational-dynamics"",""practice-2""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-006,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-3-work-energy-and-power"",""practice-3""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-007,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-3-work-energy-and-power"",""practice-1""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-008,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-3-work-energy-and-power"",""practice-2""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-009,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-4-linear-momentum"",""practice-3""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-010,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-4-linear-momentum"",""practice-1""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-011,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-5-torque-and-rotational-dynamics"",""practice-2""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-012,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-5-torque-and-rotational-dynamics"",""practice-3""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-014,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-6-energy-and-momentum-of-rotating-systems"",""practice-2""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-015,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-7-oscillations"",""practice-3""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-016,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-7-oscillations"",""practice-1""],""unit"":null,""taxonomy_refs"":null}"
