content_key,item_type,difficulty,basis,authored_difficulty
APSTATS-MCQ-006,mcq,Hard,hard cues=1,Hard
APSTATS-MCQ-006-CAL,mcq,Hard,hard cues=1,Hard
APSTATS-MCQ-008-CAL,mcq,Hard,hard cues=1,Hard
APSTATS-MCQ-009,mcq,Medium,inference/procedure cues=1,Medium
APSTATS-MCQ-009-CAL,mcq,Medium,inference/procedure cues=1,Medium
APSTATS-MCQ-010-CAL,mcq,Medium,inference/procedure cues=2,Hard
APSTATS-MCQ-011,mcq,Medium,inference/procedure cues=2,Medium
APSTATS-MCQ-011-CAL,mcq,Medium,inference/procedure cues=2,Medium
APSTATS-MCQ-013,mcq,Medium,inference/procedure cues=2,Medium
APSTATS-MCQ-013-CAL,mcq,Medium,inference/procedure cues=2,Medium
APSTATS-MCQ-014,mcq,Medium,inference/procedure cues=2,Hard
APSTATS-MCQ-014-CAL,mcq,Medium,inference/procedure cues=2,Hard
APSTATS-MCQ-016-CAL,mcq,Medium,inference/procedure cues=1,Hard
APSTATS-MCQ-018-CAL,mcq,Medium,inference/procedure cues=3,Hard
APSTATS-MCQ-019,mcq,Easy,descriptive cues=1,Easy
APSTATS-MCQ-020,mcq,Easy,descriptive cues=3,Easy
APSTATS-MCQ-021,mcq,Easy,descriptive cues=2,Medium
APSTATS-MCQ-022,mcq,Easy,descriptive cues=2,Medium
APSTATS-MCQ-023,mcq,Easy,descriptive cues=2,Medium
APSTATS-MCQ-024,mcq,Easy,descriptive cues=2,Easy
APSTATS-MCQ-025,mcq,Easy,descriptive cues=1,Hard
APSTATS-MCQ-026,mcq,Easy,descriptive cues=2,Hard
APSTATS-MCQ-027,mcq,Easy,descriptive cues=3,Medium
APSTATS-MCQ-028,mcq,Hard,hard cues=1,Easy
APSTATS-MCQ-029,mcq,Medium,inference/procedure cues=2,Medium
APSTATS-MCQ-030,mcq,Medium,inference/procedure cues=1,Hard
APSTATS-MCQ-031,mcq,Medium,inference/procedure cues=2,Medium
APSTATS-MCQ-032,mcq,Medium,inference/procedure cues=2,Hard
APSTATS-MCQ-033,mcq,Hard,hard cues=1,Medium
APSTATS-MCQ-034,mcq,Easy,descriptive cues=1,Hard
APSTATS-MCQ-035,mcq,Medium,inference/procedure cues=2,Medium
APSTATS-MCQ-036,mcq,Easy,descriptive cues=1,Hard
APSTATS-MCQ-037,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy
APSTATS-MCQ-038,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
APSTATS-MCQ-039,mcq,Medium,no cue matched - default to Medium (undiscriminated),Hard
APSTATS-MCQ-040,mcq,Hard,hard cues=1,Medium
APSTATS-MCQ-041,mcq,Hard,hard cues=1,Hard
APSTATS-MCQ-042,mcq,Medium,no cue matched - default to Medium (undiscriminated),Easy
APSTATS-MCQ-043,mcq,Hard,hard cues=1,Medium
APSTATS-MCQ-044,mcq,Hard,hard cues=2,Hard
APSTATS-MCQ-045,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
APSTATS-MCQ-046,mcq,Hard,hard cues=2,Easy
APSTATS-MCQ-047,mcq,Medium,no cue matched - default to Medium (undiscriminated),Medium
APSTATS-MCQ-048,mcq,Hard,hard cues=1,Hard
APSTATS-MCQ-049,mcq,Hard,hard cues=2,Medium
APSTATS-MCQ-050,mcq,Hard,hard cues=1,Hard
APSTATS-MCQ-051,mcq,Hard,hard cues=1,Easy
APSTATS-MCQ-052,mcq,Hard,hard cues=2,Medium
APSTATS-MCQ-053,mcq,Medium,no cue matched - default to Medium (undiscriminated),Hard
APSTATS-MCQ-054,mcq,Hard,hard cues=1,Medium
APSTATS-MCQ-055,mcq,Medium,inference/procedure cues=1,Easy
APSTATS-MCQ-056,mcq,Medium,inference/procedure cues=1,Medium
APSTATS-MCQ-057,mcq,Medium,inference/procedure cues=1,Hard
APSTATS-MCQ-058,mcq,Medium,inference/procedure cues=3,Medium
APSTATS-MCQ-059,mcq,Medium,inference/procedure cues=1,Hard
APSTATS-MCQ-060,mcq,Hard,hard cues=1,Medium
