content_key,item_type,difficulty,basis,authored_difficulty
apstat-u1-6-4a-distribution-106011,mcq,Easy,descriptive cues=2,Medium
apstat-u1-6-4a-distribution-106012,mcq,Easy,descriptive cues=2,Medium
apstat-u1-6-4a-distribution-106013,mcq,Easy,descriptive cues=2,Medium
apstat-u1-6-4a-distribution-106014,mcq,Easy,descriptive cues=2,Medium
apstat-u1-6-4a-distribution-106015,mcq,Easy,descriptive cues=2,Medium
apstat-u1-6-4a-distribution-106016,mcq,Easy,descriptive cues=2,Medium
apstat-u1-6-4a-distribution-106017,mcq,Easy,descriptive cues=2,Medium
apstat-u1-6-4a-distribution-106018,mcq,Easy,descriptive cues=2,Medium
apstat-u1-6-4a-distribution-106019,mcq,Easy,descriptive cues=2,Medium
apstat-u1-8-3a-boxplots-108000,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108001,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108002,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108003,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108004,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108005,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108006,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108007,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108008,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108009,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108010,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108011,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108012,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108013,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108014,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108015,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108016,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108017,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108018,mcq,Easy,descriptive cues=4,Medium
apstat-u1-8-3a-boxplots-108019,mcq,Easy,descriptive cues=4,Medium
