content_key,subject_key,item_type,existing_prompt_json_topic,parsed_code,code_in_closed_list,existing_coverage_label,unit_signals
apphycm-frq-050,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-2-force-and-translational-dynamics"",""practice-4""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-frq-051,ap-physics-c-mechanics,frq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-3-work-energy-and-power"",""practice-1""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-001,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-002,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-1-kinematics"",""practice-2""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-003,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-2-force-and-translational-dynamics"",""practice-3""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-005,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-2-force-and-translational-dynamics"",""practice-2""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-006,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-3-work-energy-and-power"",""practice-3""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-007,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-3-work-energy-and-power"",""practice-1""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-008,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-3-work-energy-and-power"",""practice-2""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-009,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-010,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-4-linear-momentum"",""practice-1""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-011,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-5-torque-and-rotational-dynamics"",""practice-2""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-012,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-5-torque-and-rotational-dynamics"",""practice-3""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-013,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-014,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-6-energy-and-momentum-of-rotating-systems"",""practice-2""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-015,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-7-oscillations"",""practice-3""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-016,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-7-oscillations"",""practice-1""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-017,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-1-kinematics"",""practice-2""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-018,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-019,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":null,""subtopics"":null,""taxonomy_refs"":null}"
