template_family,item_count,content_keys
legacy:mcq:symbolic:topic-8.4,1,apcalcbc-mcq-040
legacy:mcq:symbolic:topic-8.8,1,apcalcbc-mcq-041
legacy:mcq:symbolic:topic-9.2,1,apcalcbc-mcq-045
legacy:mcq:symbolic:topic-10.9,1,apcalcbc-mcq-047
legacy:mcq:symbolic:topic-10.13,1,apcalcbc-mcq-048
legacy:mcq:symbolic:topic-10.12,1,apcalcbc-mcq-049
legacy:mcq:symbolic:topic-1.10,1,apcalcbc-mcq-060
legacy:mcq:symbolic:topic-1.15,1,apcalcbc-mcq-070
legacy:mcq:symbolic:topic-2.2,1,apcalcbc-mcq-080
legacy:mcq:symbolic:topic-2.9,1,apcalcbc-mcq-090
np1:mcq:symbolic:topic-1.16,1,apcalcbc-mcq-np1-001
np1:mcq:symbolic:topic-1.15,1,apcalcbc-mcq-np1-002
np1:mcq:symbolic:topic-1.6,1,apcalcbc-mcq-np1-003
np1:mcq:symbolic:topic-2.8,1,apcalcbc-mcq-np1-004
np1:mcq:symbolic:topic-3.1,1,apcalcbc-mcq-np1-005
np1:mcq:symbolic:topic-2.9,1,apcalcbc-mcq-np1-006
np1:mcq:table:topic-3.1,1,apcalcbc-mcq-np1-007
np1:mcq:symbolic:topic-5.12,1,apcalcbc-mcq-np1-008
np1:mcq:symbolic:topic-3.3,1,apcalcbc-mcq-np1-009
np1:mcq:symbolic:topic-3.2,1,apcalcbc-mcq-np1-010
