file_name,image_id,image_role,source_image_id,response_id,item_id,content_item_version_id,transformation,metadata_status,provenance_status,consent_status,storage_scope,captured_at,ingested_at
Calc AB HDR/IMG_7075.jpeg,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
Calc AB HDR/IMG_7077.jpeg,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
Calc AB HDR/IMG_7078.jpeg,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
Calc AB HDR/IMG_7080.jpeg,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
Calc AB HDR/IMG_7084.jpeg,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
Chem HDR/IMG_7081.jpeg,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
Chem HDR/IMG_7082.jpeg,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
Chem HDR/IMG_7083.jpeg,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
Chem HDR/IMG_7084 2.jpeg,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
Chem HDR/IMG_7085.jpeg,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
Chem HDR/IMG_7086.jpeg,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
Chem HDR/IMG_7087.jpeg,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
Chem HDR/IMG_7088.jpeg,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
Chem HDR/IMG_7089.jpeg,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-001__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-002__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-003__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-004__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-005__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-006__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-007__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-008__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-009__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-010__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-011__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-012__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-013__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-014__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-015__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-016__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-CAT-017__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-EST-001__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-EST-002__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-EST-003__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-EST-004__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-EST-005__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-EST-006__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-EST-007__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-EST-008__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-EST-009__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-EST-010__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-EST-011__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-EST-012__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-EST-013__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-EST-014__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
