content_item_id,subject_key,item_type,has_topic_label,has_canonical_answer_1,has_prior_model_run,has_author_prose,criteria_count
822d2c2d-81f3-4ce1-8506-661a9d94dbcc,ap-statistics,frq,false,true,true,true,3
f21ce773-4813-47a9-98fe-e89cba300512,ap-statistics,frq,false,true,true,true,3
1a5a44ca-1545-4ea0-bc50-86ac0489ff6c,ap-statistics,frq,false,false,false,false,1
43780d98-4cea-432e-86d7-182baf4d422c,ap-statistics,frq,false,false,false,false,1
2d8d4d3d-1af7-4f45-b32e-93e8c9f03ce0,ap-statistics,frq,false,false,false,false,1
cfabb50f-6bee-4c75-af53-7ba415dd697f,ap-statistics,frq,false,false,false,false,1
d2affbe0-2481-4f00-8054-d42ff6398b27,ap-statistics,frq,false,false,false,false,1
d9fb8bc8-8534-4259-ae09-8a82243aabce,ap-statistics,frq,false,false,false,false,1
0f7571c4-4327-45cf-9cc4-d9f822c8db65,ap-statistics,frq,false,false,false,false,1
07edc710-16bb-4c09-b7d2-789cdc5a9926,ap-statistics,frq,false,false,false,false,1
af82b114-64dc-4161-a900-4e6de29ab303,ap-statistics,frq,false,false,false,false,1
bb2c9c91-f2c9-4312-a416-e6867c3fdaf3,ap-statistics,frq,false,false,false,false,1
85d23dca-8f05-4e9e-9dbe-22600f8c5528,ap-statistics,frq,false,false,false,false,1
4c9180d9-3f05-4fb6-a5f5-0b1e59100ad8,ap-statistics,frq,false,false,false,false,1
7db0ade2-21b7-4cd9-b0d9-59ad3cf3b731,ap-statistics,mcq,false,false,false,false,0
d16208a1-86e9-4bbf-a227-6c35f62e8843,ap-statistics,mcq,false,false,false,false,0
1aa847f3-d07e-49db-be54-141b4269649f,ap-statistics,mcq,false,false,false,false,0
01083ec3-5f29-4827-99ed-5c9829f39274,ap-statistics,mcq,false,false,false,false,0
9a86f050-4bb9-44d4-862c-9fca39c125c6,ap-statistics,mcq,false,false,false,false,0
5f38db56-d845-4f9f-b674-be833f35e082,ap-statistics,mcq,false,false,false,false,0
b9ac5ed0-6f91-435d-9a2b-1a8896e63db4,ap-statistics,mcq,false,false,false,false,0
495a6980-940c-49ee-918b-73ed1dee2043,ap-statistics,mcq,false,false,false,false,0
72dd5024-8a93-4752-90c9-4099341517bc,ap-statistics,mcq,false,false,false,false,0
59af95bc-6b6e-4c79-987d-fb7b0455fdbd,ap-statistics,mcq,false,false,false,false,0
967902b0-913a-4f3d-9593-944b80837cd9,ap-statistics,mcq,false,false,false,false,0
929b3bb8-8e75-4666-8b7e-7b035f23bbf9,ap-statistics,mcq,false,false,false,false,0
14480321-788c-445d-886a-4ee986b1380b,ap-statistics,mcq,false,false,false,false,0
fde38ef5-516a-405a-9d6a-ae5c7ebf5625,ap-statistics,mcq,false,false,false,false,0
f8b8d309-d590-453c-ba1a-de5a50422847,ap-statistics,mcq,false,false,false,false,0
9569b2b0-7a19-441a-ba3b-feda8f69c1eb,ap-statistics,mcq,false,false,false,false,0
7c2556fb-1586-4e84-87bd-549fbb32cf16,ap-statistics,mcq,false,false,false,false,0
42ed8387-2e57-40fd-bd85-8b911aa08ed5,ap-statistics,mcq,false,false,false,false,0
1e1e7327-606f-44f8-8b21-64ca4ab00343,ap-statistics,mcq,false,false,false,false,0
5005a284-5856-4f5e-a6c2-93d208d392fc,ap-statistics,mcq,false,false,false,false,0
cc470e39-255e-465c-a93f-2d6e3c325b89,ap-statistics,mcq,false,false,false,false,0
499e91c6-ea09-4f5e-baff-7b07f25ee78b,ap-statistics,mcq,false,false,false,false,0
e40f868d-5b8f-46bf-bd03-4fcc938613b5,ap-statistics,mcq,false,false,false,false,0
68849543-8c77-46f6-9c44-db7e1b18163e,ap-statistics,mcq,false,false,false,false,0
a290d67d-8ae1-46c4-9eb0-c3d19e4000ad,ap-statistics,mcq,false,false,false,false,0
9cd1fc73-a3aa-42de-9a38-ed27e68de5cb,ap-statistics,mcq,false,false,false,false,0
fce2322b-6c24-4427-a9b0-145cb69fd593,ap-statistics,mcq,false,false,false,false,0
501b459c-50ab-4057-8b14-e5b824dd5c2c,ap-statistics,mcq,false,false,false,false,0
a0030be0-3d35-495a-a5cf-a64b716f2237,ap-statistics,mcq,false,false,false,false,0
7293fb74-a05d-4e94-8904-4436832d2103,ap-statistics,mcq,false,false,false,false,0
8ed5e5cd-bc8a-4706-9a17-dc233d48f53a,ap-statistics,mcq,false,false,false,false,0
f6cb6927-3342-4803-acc7-67118765b7a6,ap-statistics,mcq,false,false,false,false,0
40e339b1-ea48-4a3c-aa5f-59d511dbf531,ap-statistics,mcq,false,false,false,false,0
99d9c4cb-b92c-4f9b-b47a-76bb3a556e2f,ap-statistics,mcq,false,false,false,false,0
0f5d9a4f-cebc-40e5-8bbe-1bf54864ef3f,ap-statistics,mcq,false,false,false,false,0
